"character_id","visible_full_name","visible_surname_preserved","stored_part_1_route","legacy_part_2_route","evidence_status","repair_action"
"47","Hoot Octorage","Octorage","Front:Baseball","Hair:Octopus hot frizz","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"58","Buergeria Joylaugh","Joylaugh","Mouth:Laughing","Eyes:Happy","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"70","Hylodes Spiralgrin","Spiralgrin","Front:Soft serve ice cream","Back:Fuzzy swirl","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"86","Rhaebo Redfin","Redfin","Front:Tuna sushi","Eyes:Sour","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"91","Liurana Lidbun","Lidbun","Front:Hamburger","Background:Uncontrollable Ocean Blue","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"124","Hoss Greybun","Greybun","Back:White cloud","Eyes:Grey stare","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"170","Bowie Brownloaf","Brownloaf","Eyes:Brown tilt","Front:Baguette","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"172","Pelodytes Redturn","Redturn","Mouth:Downturned","Eyebrows:Absentminded","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"194","Bat Tarcrust","Tarcrust","Front:Baguette","Hair:Tar shower","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"225","Wyatt Scaredcone","Scaredcone","Front:Soft serve ice cream","Eyes:Happy","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"229","Gunner Swirlyham","Swirlyham","Front:Hamburger","Back:Fuzzy swirl","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"246","Rooster Mooncream","Mooncream","Front:Soft serve ice cream","Back:Waning crescent moon","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"289","Ringo Wanecrust","Wanecrust","Front:Baguette","Eyes:Brown tilt","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"318","Reeves Rubypop","Rubypop","Hair:Ruby sweep","Front:Lollipop","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"323","Huia Grimbog","Grimbog","Background:Outlook Sky Blue","Back:Swamp swirl","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"345","Whip Tardeck","Tardeck","Front:Skateboard","Hair:Tar shower","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"351","Dodge Coolstout","Coolstout","Front:Glass of beer","Back:Sun","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"395","Tex Frizzcone","Frizzcone","Front:Soft serve ice cream","Hair:Octopus hot frizz","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"548","Cecilia Lunamaki","Lunamaki","Front:Tuna sushi","Hair:Moon candy","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"557","Mantella Rosemerry","Rosemerry","Background:Lovely Pink","","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"651","Veronica Brandywane","Brandywane","Body:Female golden","Eyes:Grey stare","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"667","Angela Gingerwine","Gingerwine","Front:Red wine","Mouth:Smile","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"682","Callidryas Depthgrown","Depthgrown","Mouth:Silly","Back:Overgrown wasteland","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"720","Taruga Cheercake","Cheercake","Front:Berry cake","Eyes:Happy","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"791","Rulyrana Skyale","Skyale","Front:Glass of beer","Mouth:Smile","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"800","Maxima Softember","Softember","Front:Soft serve ice cream","Back:Fire","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"914","Catherine Sluggerfrizz","Sluggerfrizz","Front:Baseball","Eyes:Glare","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"954","Minuta Sunstrike","Sunstrike","Back:Sun","Eyes:Happy","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1035","Amietia Greywaste","Greywaste","Back:Overgrown wasteland","Eyes:Grey stare","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1069","Scinax Madgaze","Madgaze","Mouth:Mad","Eyes:Hanging sanpaku","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1127","Teresa Fluffyhowl","Fluffyhowl","Hair:Turmeric fluffy","Eyebrows:Smize","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1171","Keroko Gempride","Gempride","Eyes:Tight","Back:Treasures","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1178","Benedicta Cloudybrew","Cloudybrew","Front:Glass of beer","Hair:Dandelion rough buns","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1259","Rana Sunpop","Sunpop","Eyes:Blue doll","Front:Lollipop","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1282","Hyla Goldgoggle","Goldgoggle","Front:Yellow brush","Eyes:Googly","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1415","Litoria Redbrew","Redbrew","Front:Glass of beer","Eyes:Googly","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1528","Clare Madpyre","Madpyre","Eyes:Droopy","Back:Fire","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1530","Anura Coolburger","Coolburger","Front:Hamburger","Eyes:Flat up","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1539","Heket Cloudclaret","Cloudclaret","Front:Red wine","Back:White cloud","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1574","Bombina Chillpatty","Chillpatty","Front:Hamburger","Mouth:Grimace","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1579","Fenna Cluttercandy","Cluttercandy","Front:Lollipop","Back:Messy room","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1658","Mirella Skydeck","Skydeck","Front:Skateboard","Eyes:Brown tilt","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1694","Jemma Batbeam","Batbeam","Front:Baseball","Eyes:Green stretched","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1739","Theodora Swirlytaco","Swirlytaco","Front:Taco","Back:Swamp swirl","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1754","Seraph Gazenoir","Gazenoir","Eyes:Hanging sanpaku","Body:Female spirit","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1831","Alyta Violetride","Violetride","Front:Skateboard","Body:Female spirit","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1832","Toby Fuzzybat","Fuzzybat","Front:Baseball","Hair:Octopus hot frizz","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1833","Phelps Sootdunk","Sootdunk","Front:Basketball","Mouth:Laughing","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1868","Martha Fuzzyburger","Fuzzyburger","Front:Hamburger","Back:Fuzzy swirl","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1927","Cophyla Wispgaze","Wispgaze","Eyes:Glare","Back:White cloud","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"1944","Kaloula Loafscare","Loafscare","Front:Baguette","Mouth:Grimace","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2037","Rainette Pinkwhip","Pinkwhip","Background:Lovely Pink","Front:Soft serve ice cream","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2055","Boana Blushkick","Blushkick","Front:Soccer ball","Eyebrows:Smize","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2122","Sabina Dollberry","Dollberry","Eyes:Blue doll","Front:Berry cake","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2218","Nidirana Madloaf","Madloaf","Front:Baguette","Mouth:Mad","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2235","Jeanne Oceanloaf","Oceanloaf","Eyes:Sour","Background:Uncontrollable Ocean Blue","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2273","Odorrana Scarletclaret","Scarletclaret","Front:Red wine","Eyes:Grey stare","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2290","Tsubaki Messykick","Messykick","Front:Soccer ball","","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2419","Smilisca Pintbeam","Pintbeam","Front:Glass of beer","Eyes:Flat up","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2446","Bridget Jetbrush","Jetbrush","Front:Yellow brush","Mouth:Grimace","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2475","Aubria Chillwink","Chillwink","Background:Uncontrollable Ocean Blue","","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2480","Hylarana Merrygrump","Merrygrump","Eyes:Happy","Background:Romantic Purple","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2552","Diana Nightfall","Nightfall","Front:Basketball","Eyes:Grey stare","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2603","Elizabeth Dandelight","Dandelight","Front:Skateboard","Hair:Dandelion rough buns","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2632","Barbara Snowtear","Snowtear","Hair:Snow natural","","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2777","Ameerega Scaredloaf","Scaredloaf","Front:Baguette","Mouth:Beaming","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2796","Scarthyla Ickycloud","Ickycloud","Eyes:Winking","Back:White cloud","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
"2824","Pyonko Pitchsmiles","Pitchsmiles","Front:Baseball","Eyebrows:Absentminded","unresolved","Confirm two exact non-Body/non-Clothing trait routes and two component words in Name Studio; do not infer from spelling."
